NMinoristas = 23;
NRegion1 = 8;
NRegion2 = 10;
NRegion3 = 5;

PercentageSector1 = 0.4;
NPropiedades = 7;

Combustible = 	[ 9,  13, 14,  17, 18,  19, 23,  21,   9, 11, 17,  18, 18, 17,  22,  24,  36, 43,  6, 15, 15, 25, 39 ];

Delivery = 		[11,  47, 44,  25, 10,  26, 26,  54,  18, 51, 20, 105,  7, 16,  34, 100,  50, 21, 11, 19, 14, 10, 11 ];

Licores = 		[34, 411, 82, 157,  5, 183, 14, 215, 102, 21, 54,   0,  6, 96, 118, 112, 535,  8, 53, 28, 69, 65, 27 ];

EsCategoriaA =  [ 1,   1,  1,   0,  1,   1,  0,  0,    0,  1,  0,   0,  0,  0,   1,   0,   0,  0,  0,  1,  0,  0,  0 ];
